Mon_Year,Spices,Location,Grade,Price
Jul-22,FENNEL,CHENNAI,,150.75
Aug-22,FENNEL,CHENNAI,,178.25
Sep-22,FENNEL,CHENNAI,,178
Oct-22,FENNEL,CHENNAI,,205
Nov-22,FENNEL,CHENNAI,,199.37
Dec-22,FENNEL,CHENNAI,,215
Jan-23,FENNEL,CHENNAI,,227.5
Feb-23,FENNEL,CHENNAI,,216.25
Mar-23,FENNEL,CHENNAI,,241.5
Apr-23,FENNEL,CHENNAI,,223.33
May-23,FENNEL,CHENNAI,,246.25
Jun-23,FENNEL,CHENNAI,,275
Jul-23,FENNEL,CHENNAI,,326
Aug-23,FENNEL,CHENNAI,,331.25
Sep-23,FENNEL,CHENNAI,,280
Oct-23,FENNEL,CHENNAI,,247.5
Nov-23,FENNEL,CHENNAI,,230
Dec-23,FENNEL,CHENNAI,,280.5
Jan-21,FENUGREEK,CHENNAI,,70.5
Feb-21,FENUGREEK,CHENNAI,,69.25
Mar-21,FENUGREEK,CHENNAI,,74.25
Apr-21,FENUGREEK,CHENNAI,,76.8
May-21,FENUGREEK,CHENNAI,,81.5
Jun-21,FENUGREEK,CHENNAI,,80.83
Jul-21,FENUGREEK,CHENNAI,,80.8
Aug-21,FENUGREEK,CHENNAI,,92.5
Sep-21,FENUGREEK,CHENNAI,,100
Oct-21,FENUGREEK,CHENNAI,,96.2
Nov-21,FENUGREEK,CHENNAI,,94.5
Dec-21,FENUGREEK,CHENNAI,,95
Jan-22,FENUGREEK,CHENNAI,,90
Feb-22,FENUGREEK,CHENNAI,,88.25
Mar-22,FENUGREEK,CHENNAI,,87.87
Apr-22,FENUGREEK,CHENNAI,,80
May-22,FENUGREEK,CHENNAI,,85.5
Jun-22,FENUGREEK,CHENNAI,,85.66
Jul-22,FENUGREEK,CHENNAI,,85
Aug-22,FENUGREEK,CHENNAI,,83.33
Sep-22,FENUGREEK,CHENNAI,,69.7
Oct-22,FENUGREEK,CHENNAI,,75.62
Nov-22,FENUGREEK,CHENNAI,,77.5
Dec-22,FENUGREEK,CHENNAI,,77.5
Jan-23,FENUGREEK,CHENNAI,,90
Feb-23,FENUGREEK,CHENNAI,,92.5
Mar-23,FENUGREEK,CHENNAI,,80
Apr-23,FENUGREEK,CHENNAI,,81.66
May-23,FENUGREEK,CHENNAI,,82.5
Jun-23,FENUGREEK,CHENNAI,,83.12
Jul-23,FENUGREEK,CHENNAI,,88
Aug-23,FENUGREEK,CHENNAI,,91.87
Sep-23,FENUGREEK,CHENNAI,,94.5
Oct-23,FENUGREEK,CHENNAI,,95.62
Nov-23,FENUGREEK,CHENNAI,,115
Dec-23,FENUGREEK,CHENNAI,,117
Jan-21,GARLIC,CHENNAI,,85
Feb-21,GARLIC,CHENNAI,,81.87
Mar-21,GARLIC,CHENNAI,,65.62
Apr-21,GARLIC,CHENNAI,,80.8
May-21,GARLIC,CHENNAI,,78.75
Jun-21,GARLIC,CHENNAI,,89.17
Jul-21,GARLIC,CHENNAI,,85
Aug-21,GARLIC,CHENNAI,,85
Sep-21,GARLIC,CHENNAI,,77.5
Oct-21,GARLIC,CHENNAI,,81
Nov-21,GARLIC,CHENNAI,,85
Dec-21,GARLIC,CHENNAI,,77.5
Jan-22,GARLIC,CHENNAI,,52
Feb-22,GARLIC,CHENNAI,,47.5
Mar-22,GARLIC,CHENNAI,,47.5
Apr-22,GARLIC,CHENNAI,,45
